count	class	samples
71	text-neutral-700	<a.flex-shrink-0.self-start.px-3.py-1.5.rounded-full.border.border-neutral-300.dark:border-neutral-600> "Have an account? Login" | <label.block.text-sm.font-medium.text-neutral-700.dark:text-neutral-300.mb-1.5> "Full Name *" | <label.block.text-sm.font-medium.text-neutral-700.dark:text-neutral-300.mb-1.5> "Email Address *" | <label.block.text-sm.font-medium.text-neutral-700.dark:text-neutral-300.mb-1.5> "Phone Number *"
70	justify-between	<div.flex.w-full.items-center.justify-between.max-w-screen-2xl.mx-auto> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <div.flex.h-full.items-center.justify-between> "HomeCategoriesCartAccount" | <div.flex.items-center.justify-between.px-6.py-5.border-b.border-neutral-100.dark:border-neutral-800> "Search" | <div.flex.items-center.justify-between.px-6.py-6> "Shopping Cart"
66	dark:hover:bg-neutral-700	<button.flex.w-full.cursor-pointer.items-center.justify-between.gap-2.px-3.py-2> "Afghanistan" | <button.flex.w-full.cursor-pointer.items-center.justify-between.gap-2.px-3.py-2> "Albania" | <button.flex.w-full.cursor-pointer.items-center.justify-between.gap-2.px-3.py-2> "Algeria" | <button.flex.w-full.cursor-pointer.items-center.justify-between.gap-2.px-3.py-2> "Argentina"
65	sm:text-sm	<p.text-xs.sm:text-sm.text-neutral-500.dark:text-neutral-400.mt-1> "Join us and start your journey today" | <a.flex-shrink-0.self-start.px-3.py-1.5.rounded-full.border.border-neutral-300.dark:border-neutral-600> "Have an account? Login" | <button.flex.w-full.cursor-pointer.items-center.justify-between.gap-2.px-3.py-2> "Afghanistan" | <button.flex.w-full.cursor-pointer.items-center.justify-between.gap-2.px-3.py-2> "Albania"
65	truncate	<span.truncate> "Create your account" | <span.truncate.text-left.flex-1> "Select your country" | <span.truncate> "Afghanistan" | <span.truncate> "Albania"
64	text-left	<span.truncate.text-left.flex-1> "Select your country" | <button.flex.w-full.cursor-pointer.items-center.justify-between.gap-2.px-3.py-2> "Afghanistan" | <button.flex.w-full.cursor-pointer.items-center.justify-between.gap-2.px-3.py-2> "Albania" | <button.flex.w-full.cursor-pointer.items-center.justify-between.gap-2.px-3.py-2> "Algeria"
63	hover:bg-neutral-50	<button.flex.w-full.cursor-pointer.items-center.justify-between.gap-2.px-3.py-2> "Afghanistan" | <button.flex.w-full.cursor-pointer.items-center.justify-between.gap-2.px-3.py-2> "Albania" | <button.flex.w-full.cursor-pointer.items-center.justify-between.gap-2.px-3.py-2> "Algeria" | <button.flex.w-full.cursor-pointer.items-center.justify-between.gap-2.px-3.py-2> "Argentina"
31	text-sm	<p.text-sm.font-semibold.text-neutral-300> "Logoipsum" | <ul.hidden.gap-0.5.text-sm.md:flex.items-center> "AllSmartphonesHeadphonesEntertainmentAppliances" | <input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border> | <label.block.text-sm.font-medium.text-neutral-700.dark:text-neutral-300.mb-1.5> "Full Name *"
24	relative	<nav.relative.mx-auto.rounded-xl.bg-neutral-900.dark:bg-neutral-900.px-4.md:px-6.lg:px-8> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <div.relative.flex.items-center.justify-center.rounded-md.border-0.lg:border.border-solid> | <div.relative.flex.items-center.justify-center.rounded-md.lg:h-11.lg:w-11.text-white> | <li.relative> "All"
20	rounded-full	<div.flex.items-center.justify-center.rounded-full.transition-all.duration-300.px-6.py-1> | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Account" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "All" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Smartphones"
20	text-selected-black	<li.text-selected-black.dark:text-neutral-300> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <li.text-selected-black.dark:text-neutral-300> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New"
19	duration-200	<a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "All" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Smartphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Headphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Entertainment"
19	justify-center	<div.!min-h-9.!min-w-9.flex.items-center.justify-center.rounded-lg.bg-emerald-500> | <div.flex.items-center.justify-center.rounded-full.transition-all.duration-300.px-6.py-1> | <div.relative.flex.items-center.justify-center.rounded-md.border-0.lg:border.border-solid> | <div.relative.flex.items-center.justify-center.rounded-md.lg:h-11.lg:w-11.text-white>
18	bg-white	<body.min-h-screen.font-archivo.text-foreground.bg-white.dark:bg-neutral-950.antialiased> "((a,b,c,d,e,f,g,h)=>{let i=document.documentElement,j=[\"light\",\"dark\"];function k(b){var c;(Array.is" | <main.bg-white.dark:bg-neutral-950> "((a,b,c,d,e,f,g,h)=>{let i=document.documentElement,j=[\"light\",\"dark\"];function k(b){var c;(Array.is" | <main.bg-white.dark:bg-neutral-950> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <nav.px-3.h-16.border-t.border-neutral-200.bg-white.dark:border-neutral-800.dark:bg-black> "HomeCategoriesCartAccount"
17	text-neutral-900	<div.flex.items-center.justify-center.rounded-full.transition-all.duration-300.px-6.py-1> | <h2.text-lg.font-bold.text-neutral-900.dark:text-white> "Search" | <input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border> | <h2.text-2xl.font-semibold.text-neutral-900.dark:text-white> "Shopping Cart"
17	transition-all	<div.flex.items-center.justify-center.rounded-full.transition-all.duration-300.px-6.py-1> | <label.group.relative.max-w-fit.touch-none.tap-highlight-transparent.select-none.flex.size-9> | <input#signup-name.w-full.py-2.5.sm:py-3.rounded-lg.border.bg-white.dark:bg-neutral-900.text-neutral-900> | <input#signup-email.w-full.py-2.5.sm:py-3.rounded-lg.border.bg-white.dark:bg-neutral-900.text-neutral-900>
16	block	<label.block.text-sm.font-medium.text-neutral-700.dark:text-neutral-300.mb-1.5> "Full Name *" | <label.block.text-sm.font-medium.text-neutral-700.dark:text-neutral-300.mb-1.5> "Email Address *" | <label.block.text-sm.font-medium.text-neutral-700.dark:text-neutral-300.mb-1.5> "Phone Number *" | <label.block.text-sm.font-medium.text-neutral-700.dark:text-neutral-300.mb-1.5> "Country *"
15	dark:text-white	<svg.h-5.w-5.text-black.dark:text-white> | <h2.text-lg.font-bold.text-neutral-900.dark:text-white> "Search" | <input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border> | <h2.text-2xl.font-semibold.text-neutral-900.dark:text-white> "Shopping Cart"
15	py-1	<div.flex.items-center.justify-center.rounded-full.transition-all.duration-300.px-6.py-1> | <div.py-1> "AfghanistanAlbaniaAlgeriaArgentinaAustraliaAustriaBangladeshBelgiumBrazilCanadaChileChinaColombiaCro" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New"
15	rounded-lg	<div.!min-h-9.!min-w-9.flex.items-center.justify-center.rounded-lg.bg-emerald-500> | <a.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Home" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Categories" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Cart"
13	flex-col	<a.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Home" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Categories" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Cart" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Account"
12	border	<input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border> | <div.bg-white.dark:bg-neutral-900.rounded-2xl.shadow-sm.border.border-neutral-100.dark:border-neutral-800.p-5> "Create your accountJoin us and start your journey todayHave an account? LoginFull Name *Email Addres" | <a.flex-shrink-0.self-start.px-3.py-1.5.rounded-full.border.border-neutral-300.dark:border-neutral-600> "Have an account? Login" | <input#signup-name.w-full.py-2.5.sm:py-3.rounded-lg.border.bg-white.dark:bg-neutral-900.text-neutral-900>
12	font-medium	<a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "All" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Smartphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Headphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Entertainment"
11	absolute	<button.absolute.right-2.top-1/2.-translate-y-1/2.p-2.text-neutral-400.hover:text-neutral-600.dark:hover:text-neutral-300> | <input.font-inherit.text-[100%].leading-[1.15].m-0.p-0.overflow-visible.box-border.absolute> | <span.absolute.left-3.top-1/2.-translate-y-1/2.text-emerald-500> | <span.absolute.left-3.top-[13px].z-10.text-emerald-500.pointer-events-none>
11	dark:hover:text-neutral-300	<button.absolute.right-2.top-1/2.-translate-y-1/2.p-2.text-neutral-400.hover:text-neutral-600.dark:hover:text-neutral-300> | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Shipping"
11	px-0	<div.relative.shrink-0.overflow-hidden.rounded-full.outline-solid.outline-transparent.group-data-[focus-visible=true]:z-10.group-data-[focus-visible=true]:ring-2> | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Shipping"
10	dark:bg-neutral-900	<nav.relative.mx-auto.rounded-xl.bg-neutral-900.dark:bg-neutral-900.px-4.md:px-6.lg:px-8> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <div.fixed.right-0.top-0.z-50.h-full.w-full.max-w-[420px].bg-white> "SearchStart typing to search products" | <div.fixed.right-0.top-0.z-50.h-full.w-full.max-w-[420px].bg-white> "Shopping CartYour cart is emptyAdd items to your cart to see them here" | <div.bg-white.dark:bg-neutral-900.rounded-2xl.shadow-sm.border.border-neutral-100.dark:border-neutral-800.p-5> "Create your accountJoin us and start your journey todayHave an account? LoginFull Name *Email Addres"
10	h-4	<svg.w-4.h-4> | <svg.h-4.w-4.shrink-0.transition-transform.duration-200>
10	hover:text-black	<a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Shipping" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Terms of use"
10	hover:underline	<a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Shipping" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Terms of use"
10	md:inline-block	<a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Shipping" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Terms of use"
10	md:p-2	<a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Shipping" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Terms of use"
10	px-6	<div.flex.items-center.justify-center.rounded-full.transition-all.duration-300.px-6.py-1> | <div.flex.items-center.justify-between.px-6.py-5.border-b.border-neutral-100.dark:border-neutral-800> "Search" | <div.px-6.py-4> | <div.overflow-y-auto.h-[calc(100vh-180px)].py-4.px-6> "Start typing to search products"
10	py-2.5	<nav.relative.mx-auto.rounded-xl.bg-neutral-900.dark:bg-neutral-900.px-4.md:px-6.lg:px-8> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <input#signup-name.w-full.py-2.5.sm:py-3.rounded-lg.border.bg-white.dark:bg-neutral-900.text-neutral-900> | <input#signup-email.w-full.py-2.5.sm:py-3.rounded-lg.border.bg-white.dark:bg-neutral-900.text-neutral-900> | <input#signup-phone.w-full.py-2.5.sm:py-3.rounded-lg.border.bg-white.dark:bg-neutral-900.text-neutral-900>
10	text-nowrap	<a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Shipping" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Terms of use"
10	underline-offset-4	<a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Shipping" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Terms of use"
10	w-4	<svg.w-4.h-4> | <svg.h-4.w-4.shrink-0.transition-transform.duration-200>
9	duration-300	<div.flex.items-center.justify-center.rounded-full.transition-all.duration-300.px-6.py-1> | <div.fixed.inset-0.z-40.bg-black/40.backdrop-blur-sm.transition-opacity.duration-300.ease-out> | <div.fixed.right-0.top-0.z-50.h-full.w-full.max-w-[420px].bg-white> "SearchStart typing to search products" | <div.fixed.inset-0.z-50.bg-black/40.backdrop-blur-sm.transition-opacity.duration-300.ease-out>
9	font-semibold	<p.text-sm.font-semibold.text-neutral-300> "Logoipsum" | <a.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Home" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Categories" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Cart"
9	gap-1	<a.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Home" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Categories" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Cart" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Account"
9	hover:bg-white/10	<button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Account" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "All" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Smartphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Headphones"
9	mx-auto	<nav.relative.mx-auto.rounded-xl.bg-neutral-900.dark:bg-neutral-900.px-4.md:px-6.lg:px-8> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <div.flex.w-full.items-center.justify-between.max-w-screen-2xl.mx-auto> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <svg.w-12.h-12.mx-auto.text-neutral-300.dark:text-neutral-600.mb-3> | <div.mx-auto.min-h-[calc(100vh-580px)].w-full.bg-white.dark:bg-neutral-950> "Create your accountJoin us and start your journey todayHave an account? LoginFull Name *Email Addres"
9	text-neutral-500	<svg.w-6.h-6.text-neutral-500> | <p.text-neutral-500.dark:text-neutral-400> "Start typing to search products" | <p.text-neutral-500.dark:text-neutral-400> "Add items to your cart to see them here" | <p.text-xs.sm:text-sm.text-neutral-500.dark:text-neutral-400.mt-1> "Join us and start your journey today"
8	-translate-y-1/2	<button.absolute.right-2.top-1/2.-translate-y-1/2.p-2.text-neutral-400.hover:text-neutral-600.dark:hover:text-neutral-300> | <span.absolute.left-3.top-1/2.-translate-y-1/2.text-emerald-500> | <button.absolute.right-3.top-1/2.-translate-y-1/2.text-neutral-400.hover:text-neutral-600.dark:hover:text-neutral-200.transition-colors>
8	dark:text-neutral-400	<div.flex.items-center.justify-center.rounded-full.transition-all.duration-300.px-6.py-1> | <p.text-neutral-500.dark:text-neutral-400> "Start typing to search products" | <p.text-neutral-500.dark:text-neutral-400> "Add items to your cart to see them here" | <p.text-xs.sm:text-sm.text-neutral-500.dark:text-neutral-400.mt-1> "Join us and start your journey today"
8	flex-1	<div.flex-1.overflow-y-auto.px-6> "Your cart is emptyAdd items to your cart to see them here" | <div.flex-1.min-w-0> "Email Address *" | <div.flex-1.min-w-0> "Phone Number *" | <span.truncate.text-left.flex-1> "Select your country"
8	focus:outline-none	<input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border> | <label.group.relative.max-w-fit.touch-none.tap-highlight-transparent.select-none.flex.size-9> | <input#signup-name.w-full.py-2.5.sm:py-3.rounded-lg.border.bg-white.dark:bg-neutral-900.text-neutral-900> | <input#signup-email.w-full.py-2.5.sm:py-3.rounded-lg.border.bg-white.dark:bg-neutral-900.text-neutral-900>
8	hover:text-white	<a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "All" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Smartphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Headphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Entertainment"
8	px-4	<div.w-full.px-4.md:px-6.lg:px-8.pt-2.md:pt-3> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <nav.relative.mx-auto.rounded-xl.bg-neutral-900.dark:bg-neutral-900.px-4.md:px-6.lg:px-8> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border> | <div.mx-auto.w-full.px-4.md:px-6.lg:px-8.py-10.md:py-12.bg-white>
8	text-neutral-300	<p.text-sm.font-semibold.text-neutral-300> "Logoipsum" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "All" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Smartphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Headphones"
8	text-white	<div.relative.flex.items-center.justify-center.rounded-md.lg:h-11.lg:w-11.text-white> | <button.p-2.text-white.transition-colors.cursor-pointer.rounded-full.hover:bg-white/10> | <button.relative.p-2.text-white.transition-colors.cursor-pointer.rounded-full.hover:bg-white/10> | <svg.text-white.hover:text-neutral-200.transition-colors>
8	top-1/2	<button.absolute.right-2.top-1/2.-translate-y-1/2.p-2.text-neutral-400.hover:text-neutral-600.dark:hover:text-neutral-300> | <span.absolute.left-3.top-1/2.-translate-y-1/2.text-emerald-500> | <button.absolute.right-3.top-1/2.-translate-y-1/2.text-neutral-400.hover:text-neutral-600.dark:hover:text-neutral-200.transition-colors>
7	border-neutral-200	<nav.px-3.h-16.border-t.border-neutral-200.bg-white.dark:border-neutral-800.dark:bg-black> "HomeCategoriesCartAccount" | <div.relative.flex.items-center.justify-center.rounded-md.border-0.lg:border.border-solid> | <input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border> | <button.flex.w-full.items-center.justify-between.gap-2.rounded-lg.border.px-3> "Select your country"
7	dark:border-neutral-800	<nav.px-3.h-16.border-t.border-neutral-200.bg-white.dark:border-neutral-800.dark:bg-black> "HomeCategoriesCartAccount" | <div.flex.items-center.justify-between.px-6.py-5.border-b.border-neutral-100.dark:border-neutral-800> "Search" | <div.border-t.border-neutral-100.dark:border-neutral-800> | <div.mx-6.border-b.border-neutral-100.dark:border-neutral-800>
7	fixed	<div.fixed.left-1/2.z-[999].w-[80%].-translate-x-1/2.sm:max-w-md.top-4.bottom-auto> | <header.fixed.top-0.left-0.right-0.z-[60]> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <div.fixed.inset-x-0.bottom-0.z-[60].lg:hidden> "HomeCategoriesCartAccount" | <div.fixed.inset-0.z-40.bg-black/40.backdrop-blur-sm.transition-opacity.duration-300.ease-out>
7	focus:ring-2	<input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border> | <input#signup-name.w-full.py-2.5.sm:py-3.rounded-lg.border.bg-white.dark:bg-neutral-900.text-neutral-900> | <input#signup-email.w-full.py-2.5.sm:py-3.rounded-lg.border.bg-white.dark:bg-neutral-900.text-neutral-900> | <input#signup-phone.w-full.py-2.5.sm:py-3.rounded-lg.border.bg-white.dark:bg-neutral-900.text-neutral-900>
7	h-5	<svg.h-5.w-5> | <svg.h-5.w-5.text-black.dark:text-white> | <svg.w-5.h-5>
7	text-emerald-500	<span.absolute.left-3.top-1/2.-translate-y-1/2.text-emerald-500> | <span.absolute.left-3.top-[13px].z-10.text-emerald-500.pointer-events-none> | <span.text-emerald-500.flex-shrink-0>
7	w-5	<svg.h-5.w-5> | <svg.h-5.w-5.text-black.dark:text-white> | <svg.w-5.h-5>
