count	class	samples
37	text-xs	<a.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Home" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Categories" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Cart" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Account"
34	h-4	<svg.w-4.h-4> | <div.relative.w-4.h-4> | <svg.w-4.h-4.absolute.top-0.left-0.fill-neutral-300.dark:fill-neutral-600> | <svg.h-4.w-4>
34	w-4	<svg.w-4.h-4> | <div.relative.w-4.h-4> | <svg.w-4.h-4.absolute.top-0.left-0.fill-neutral-300.dark:fill-neutral-600> | <svg.h-4.w-4>
31	border-neutral-200	<nav.px-3.h-16.border-t.border-neutral-200.bg-white.dark:border-neutral-800.dark:bg-black> "HomeCategoriesCartAccount" | <div.relative.flex.items-center.justify-center.rounded-md.border-0.lg:border.border-solid> | <input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border> | <label.flex.items-center.justify-between.gap-3.p-3.rounded-xl.border.border-neutral-200> "Configurable 2+$13,543.001"
30	relative	<nav.relative.mx-auto.rounded-xl.bg-neutral-900.dark:bg-neutral-900.px-4.md:px-6.lg:px-8> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <div.relative.flex.items-center.justify-center.rounded-md.border-0.lg:border.border-solid> | <div.relative.flex.items-center.justify-center.rounded-md.lg:h-11.lg:w-11.text-white> | <li.relative> "All"
30	w-full	<div.w-full.px-4.md:px-6.lg:px-8.pt-2.md:pt-3> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <div.flex.w-full.items-center.justify-between.max-w-screen-2xl.mx-auto> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <div.fixed.right-0.top-0.z-50.h-full.w-full.max-w-[420px].bg-white> "SearchStart typing to search products" | <input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border>
29	border	<input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border> | <input.input.w-full.rounded-xl.border.border-neutral-700.bg-neutral-800.py-2.pl-4> | <label.flex.items-center.justify-between.gap-3.p-3.rounded-xl.border.border-neutral-200> "Configurable 2+$13,543.001" | <div.flex.items-center.rounded-lg.border.border-neutral-200.dark:border-neutral-700.cursor-pointer> "1"
29	dark:border-neutral-700	<div.relative.flex.items-center.justify-center.rounded-md.border-0.lg:border.border-solid> | <input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border> | <label.flex.items-center.justify-between.gap-3.p-3.rounded-xl.border.border-neutral-200> "Configurable 2+$13,543.001" | <div.flex.items-center.rounded-lg.border.border-neutral-200.dark:border-neutral-700.cursor-pointer> "1"
29	gap-3	<div.flex.items-center.gap-3> "Logoipsum" | <div.flex.flex-col.gap-3.w-20.shrink-0> | <div.flex.flex-wrap.items-baseline.gap-3.mb-6> "$535.00" | <div.flex.flex-col.sm:flex-row.gap-3.mb-6> "Bundle Products*Configurable 2+$13,543.001Configurable 1+$1,234.001Configurable 5+$452.001test*Varia"
29	px-6	<div.flex.items-center.justify-center.rounded-full.transition-all.duration-300.px-6.py-1> | <div.flex.items-center.justify-between.px-6.py-5.border-b.border-neutral-100.dark:border-neutral-800> "Search" | <div.px-6.py-4> | <div.overflow-y-auto.h-[calc(100vh-180px)].py-4.px-6> "Start typing to search products"
28	rounded-full	<div.flex.items-center.justify-center.rounded-full.transition-all.duration-300.px-6.py-1> | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Account" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "All" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Smartphones"
27	h-5	<svg.h-5.w-5> | <svg.h-5.w-5.text-black.dark:text-white> | <svg.w-5.h-5> | <input.w-5.h-5.text-green-500.focus:ring-green-500>
27	w-5	<svg.h-5.w-5> | <svg.h-5.w-5.text-black.dark:text-white> | <svg.w-5.h-5> | <input.w-5.h-5.text-green-500.focus:ring-green-500>
24	dark:text-neutral-400	<div.flex.items-center.justify-center.rounded-full.transition-all.duration-300.px-6.py-1> | <p.text-neutral-500.dark:text-neutral-400> "Start typing to search products" | <p.text-neutral-500.dark:text-neutral-400> "Add items to your cart to see them here" | <nav.flex.items-center.gap-2.text-sm.text-neutral-500.dark:text-neutral-400.mb-8> "HomeProductsA smartphone and earphone bundle offers an all-in-one mobile communication and audio sol"
24	py-4	<div.px-6.py-4> | <div.overflow-y-auto.h-[calc(100vh-180px)].py-4.px-6> "Start typing to search products" | <div.flex.items-center.gap-6.border-t.border-b.border-neutral-200.dark:border-neutral-700.py-4> "Add to WishlistAdd to Compare" | <button.relative.px-6.md:px-8.py-4.text-sm.md:text-base.cursor-pointer.font-semibold> "Description"
24	text-neutral-500	<svg.w-6.h-6.text-neutral-500> | <p.text-neutral-500.dark:text-neutral-400> "Start typing to search products" | <p.text-neutral-500.dark:text-neutral-400> "Add items to your cart to see them here" | <nav.flex.items-center.gap-2.text-sm.text-neutral-500.dark:text-neutral-400.mb-8> "HomeProductsA smartphone and earphone bundle offers an all-in-one mobile communication and audio sol"
23	h-8	<a.flex.h-8.w-auto.items-center.md:h-9> "Logoipsum" | <button.flex.h-8.w-8.items-center.justify-center.cursor-pointer> | <button.w-8.h-8.rounded-full.flex.items-center.justify-center.cursor-pointer.transition-colors>
23	justify-between	<div.flex.w-full.items-center.justify-between.max-w-screen-2xl.mx-auto> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <div.flex.h-full.items-center.justify-between> "HomeCategoriesCartAccount" | <div.flex.items-center.justify-between.px-6.py-5.border-b.border-neutral-100.dark:border-neutral-800> "Search" | <div.flex.items-center.justify-between.px-6.py-6> "Shopping Cart"
22	gap-2	<div.flex.items-center.gap-2.md:gap-3> "SearchStart typing to search productsShopping CartYour cart is emptyAdd items to your cart to see th" | <nav.flex.items-center.gap-2.text-sm.text-neutral-500.dark:text-neutral-400.mb-8> "HomeProductsA smartphone and earphone bundle offers an all-in-one mobile communication and audio sol" | <div.flex.items-center.gap-2> "Bundle Products*" | <div.flex.items-center.gap-2> "test*"
22	rounded-xl	<nav.relative.mx-auto.rounded-xl.bg-neutral-900.dark:bg-neutral-900.px-4.md:px-6.lg:px-8> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <label.group.relative.max-w-fit.touch-none.tap-highlight-transparent.select-none.flex.size-9> | <input.input.w-full.rounded-xl.border.border-neutral-700.bg-neutral-800.py-2.pl-4> | <label.flex.items-center.justify-between.gap-3.p-3.rounded-xl.border.border-neutral-200> "Configurable 2+$13,543.001"
22	w-8	<button.flex.h-8.w-8.items-center.justify-center.cursor-pointer> | <button.w-8.h-8.rounded-full.flex.items-center.justify-center.cursor-pointer.transition-colors>
21	font-semibold	<p.text-sm.font-semibold.text-neutral-300> "Logoipsum" | <a.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Home" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Categories" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Cart"
20	rounded-lg	<div.!min-h-9.!min-w-9.flex.items-center.justify-center.rounded-lg.bg-emerald-500> | <a.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Home" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Categories" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Cart"
20	text-selected-black	<li.text-selected-black.dark:text-neutral-300> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <li.text-selected-black.dark:text-neutral-300> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New"
19	text-center	<div.py-12.text-center> "Start typing to search products" | <div.flex.flex-col.items-center.justify-center.h-64.text-center> "Your cart is emptyAdd items to your cart to see them here" | <span.min-w-[2rem].text-center.text-sm.font-medium> "1" | <div.flex.flex-col.items-center.justify-center.gap-2.5.text-center.py-4.px-3> "Enjoy free shipping on all orders"
19	text-neutral-700	<button.flex.w-full.cursor-pointer.items-center.justify-between.gap-2.px-3.py-2> "Wireless Bluetooth Earbuds with Charging Case L (+544)" | <span.text-sm.font-semibold.text-neutral-700.dark:text-neutral-300> "Total" | <p.text-base.font-medium.text-neutral-700.dark:text-neutral-300> "Share:" | <button.w-8.h-8.rounded-full.flex.items-center.justify-center.cursor-pointer.transition-colors>
18	bg-white	<body.min-h-screen.font-archivo.text-foreground.bg-white.dark:bg-neutral-950.antialiased> "((a,b,c,d,e,f,g,h)=>{let i=document.documentElement,j=[\"light\",\"dark\"];function k(b){var c;(Array.is" | <main.bg-white.dark:bg-neutral-950> "((a,b,c,d,e,f,g,h)=>{let i=document.documentElement,j=[\"light\",\"dark\"];function k(b){var c;(Array.is" | <main.bg-white.dark:bg-neutral-950> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <nav.px-3.h-16.border-t.border-neutral-200.bg-white.dark:border-neutral-800.dark:bg-black> "HomeCategoriesCartAccount"
18	min-w-0	<div.flex.items-center.gap-3.flex-1.min-w-0> "Configurable 2+$13,543.00" | <div.min-w-0> "Configurable 2+$13,543.00" | <div.flex.items-center.gap-3.flex-1.min-w-0> "Configurable 1+$1,234.00" | <div.min-w-0> "Configurable 1+$1,234.00"
18	px-3	<nav.px-3.h-16.border-t.border-neutral-200.bg-white.dark:border-neutral-800.dark:bg-black> "HomeCategoriesCartAccount" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "All" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Smartphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Headphones"
17	flex-col	<a.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Home" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Categories" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Cart" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Account"
17	py-2	<a.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Home" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Categories" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Cart" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Account"
17	truncate	<span.text-neutral-900.dark:text-white.font-medium.truncate.max-w-[200px]> "A smartphone and earphone bundle offers an all-in-one mobile communication and audio solution." | <p.text-sm.font-medium.text-neutral-900.dark:text-white.truncate> "Configurable 2" | <p.text-sm.font-medium.text-neutral-900.dark:text-white.truncate> "Configurable 1" | <p.text-sm.font-medium.text-neutral-900.dark:text-white.truncate> "Configurable 5"
16	duration-200	<a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "All" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Smartphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Headphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Entertainment"
16	py-1	<div.flex.items-center.justify-center.rounded-full.transition-all.duration-300.px-6.py-1> | <div.py-1> "Wireless Bluetooth Earbuds with Charging Case XL (+544)Wireless Bluetooth Earbuds with Charging Case" | <div.py-1> "Variant 4 (+250)Variant 4 (+100)Variant 4 6 (+57)" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy"
16	text-green-500	<input.w-5.h-5.text-green-500.focus:ring-green-500> | <svg.h-3.5.w-3.5.shrink-0.text-green-500> | <svg.w-5.h-5.text-green-500.mt-0.5.shrink-0>
16	text-white	<div.relative.flex.items-center.justify-center.rounded-md.lg:h-11.lg:w-11.text-white> | <button.p-2.text-white.transition-colors.cursor-pointer.rounded-full.hover:bg-white/10> | <button.relative.p-2.text-white.transition-colors.cursor-pointer.rounded-full.hover:bg-white/10> | <svg.text-white.hover:text-neutral-200.transition-colors>
16	transition-all	<div.flex.items-center.justify-center.rounded-full.transition-all.duration-300.px-6.py-1> | <label.group.relative.max-w-fit.touch-none.tap-highlight-transparent.select-none.flex.size-9> | <button.relative.aspect-square.rounded-lg.overflow-hidden.border-2.transition-all.cursor-pointer.border-neutral-900> | <div.absolute.left-0.right-0.z-50.mt-2.max-h-64.overflow-y-auto.rounded-xl> "Wireless Bluetooth Earbuds with Charging Case XL (+544)Wireless Bluetooth Earbuds with Charging Case"
14	flex-1	<div.flex-1.overflow-y-auto.px-6> "Your cart is emptyAdd items to your cart to see them here" | <div.flex-1.relative.aspect-square.rounded-2xl.overflow-hidden.bg-neutral-100.dark:bg-neutral-800.cursor-zoom-in> | <div.flex.items-center.gap-3.flex-1.min-w-0> "Configurable 2+$13,543.00" | <div.flex.items-center.gap-3.flex-1.min-w-0> "Configurable 1+$1,234.00"
12	absolute	<button.absolute.right-2.top-1/2.-translate-y-1/2.p-2.text-neutral-400.hover:text-neutral-600.dark:hover:text-neutral-300> | <input.font-inherit.text-[100%].leading-[1.15].m-0.p-0.overflow-visible.box-border.absolute> | <div.absolute.bottom-0.right-1.top-0.flex.w-9.items-center.justify-center> | <div.absolute.bottom-4.right-4.p-2.rounded-full.bg-white/80.dark:bg-black/50.backdrop-blur-sm>
12	dark:hover:text-neutral-300	<button.absolute.right-2.top-1/2.-translate-y-1/2.p-2.text-neutral-400.hover:text-neutral-600.dark:hover:text-neutral-300> | <button.relative.px-6.md:px-8.py-4.text-sm.md:text-base.cursor-pointer.font-semibold> "Reviews (0)" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New"
12	mt-0.5	<p.text-xs.text-neutral-500.mt-0.5> "+" | <svg.w-5.h-5.text-green-500.mt-0.5.shrink-0>
12	space-y-2	<div.space-y-2> "Bundle Products*Configurable 2+$13,543.001Configurable 1+$1,234.001Configurable 5+$452.001" | <div.space-y-2> "Configurable 2+$13,543.001Configurable 1+$1,234.001Configurable 5+$452.001" | <div.space-y-2> "test*Variant 20+$100.001Variant 18+$100.001" | <div.space-y-2> "Variant 20+$100.001Variant 18+$100.001"
11	bg-neutral-50	<div.bg-neutral-50.dark:bg-neutral-800.rounded-xl.p-5> "Shipping InfoFree ShippingOn orders over $50Fast Delivery2-3 business daysEasy Returns30-day return " | <thead.bg-neutral-50.dark:bg-neutral-800/50> "AttributeValue" | <tr.bg-neutral-50.dark:bg-neutral-800/50> "DevicesPhone, earbuds, watch, power bank" | <tr.bg-neutral-50.dark:bg-neutral-800/50> "BatteryUp to 48 hours combined use"
11	block	<div.block.w-full.justify-center.md:hidden.px-4.mt-2.z-10> | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Shipping"
11	duration-300	<div.flex.items-center.justify-center.rounded-full.transition-all.duration-300.px-6.py-1> | <div.fixed.inset-0.z-40.bg-black/40.backdrop-blur-sm.transition-opacity.duration-300.ease-out> | <div.fixed.right-0.top-0.z-50.h-full.w-full.max-w-[420px].bg-white> "SearchStart typing to search products" | <div.fixed.inset-0.z-50.bg-black/40.backdrop-blur-sm.transition-opacity.duration-300.ease-out>
11	mx-auto	<nav.relative.mx-auto.rounded-xl.bg-neutral-900.dark:bg-neutral-900.px-4.md:px-6.lg:px-8> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <div.flex.w-full.items-center.justify-between.max-w-screen-2xl.mx-auto> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <svg.w-12.h-12.mx-auto.text-neutral-300.dark:text-neutral-600.mb-3> | <div.mx-auto.min-h-[calc(100vh-580px)].w-full.bg-white.dark:bg-neutral-950> "{\"@context\":\"https://schema.org\",\"@type\":\"Product\",\"name\":\"A smartphone and earphone bundle offers a"
11	px-0	<div.relative.shrink-0.overflow-hidden.rounded-full.outline-solid.outline-transparent.group-data-[focus-visible=true]:z-10.group-data-[focus-visible=true]:ring-2> | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Shipping"
11	px-4	<div.w-full.px-4.md:px-6.lg:px-8.pt-2.md:pt-3> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <nav.relative.mx-auto.rounded-xl.bg-neutral-900.dark:bg-neutral-900.px-4.md:px-6.lg:px-8> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border> | <div.block.w-full.justify-center.md:hidden.px-4.mt-2.z-10>
11	shrink-0	<div.relative.shrink-0.overflow-hidden.rounded-full.outline-solid.outline-transparent.group-data-[focus-visible=true]:z-10.group-data-[focus-visible=true]:ring-2> | <div.flex.flex-col.gap-3.w-20.shrink-0> | <svg.h-4.w-4.shrink-0.transition-transform.duration-200> | <svg.h-3.5.w-3.5.shrink-0.text-green-500>
10	dark:border-neutral-800	<nav.px-3.h-16.border-t.border-neutral-200.bg-white.dark:border-neutral-800.dark:bg-black> "HomeCategoriesCartAccount" | <div.flex.items-center.justify-between.px-6.py-5.border-b.border-neutral-100.dark:border-neutral-800> "Search" | <div.border-t.border-neutral-100.dark:border-neutral-800> | <div.mx-6.border-b.border-neutral-100.dark:border-neutral-800>
10	fill-white	<rect.fill-white> | <path.fill-white> | <svg.fill-white.stroke-neutral-900.dark:fill-neutral-900.dark:stroke-neutral-300>
10	hover:text-black	<a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Shipping" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Terms of use"
10	hover:underline	<a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Shipping" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Terms of use"
10	md:inline-block	<a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Shipping" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Terms of use"
10	md:p-2	<a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Shipping" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Terms of use"
10	text-neutral-600	<span.text-sm.font-medium.text-neutral-600.dark:text-neutral-400> "Qty:" | <button.flex.h-10.w-10.cursor-pointer.items-center.justify-center.text-neutral-600.transition-colors> | <p.text-xs.text-neutral-600.dark:text-neutral-400> "On orders over $50" | <p.text-xs.text-neutral-600.dark:text-neutral-400> "2-3 business days"
10	text-nowrap	<a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Shipping" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Terms of use"
10	top-0	<header.fixed.top-0.left-0.right-0.z-[60]> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <div.fixed.right-0.top-0.z-50.h-full.w-full.max-w-[420px].bg-white> "SearchStart typing to search products" | <div.fixed.right-0.top-0.z-50.h-full.w-full.max-w-[420px].bg-white> "Shopping CartYour cart is emptyAdd items to your cart to see them here" | <input.font-inherit.text-[100%].leading-[1.15].m-0.p-0.overflow-visible.box-border.absolute>
10	underline-offset-4	<a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Shipping" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Terms of use"
9	dark:bg-neutral-800	<input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border> | <div.flex-1.relative.aspect-square.rounded-2xl.overflow-hidden.bg-neutral-100.dark:bg-neutral-800.cursor-zoom-in> | <div.absolute.left-0.right-0.z-50.mt-2.max-h-64.overflow-y-auto.rounded-xl> "Wireless Bluetooth Earbuds with Charging Case XL (+544)Wireless Bluetooth Earbuds with Charging Case" | <div.absolute.left-0.right-0.z-50.mt-2.max-h-64.overflow-y-auto.rounded-xl> "Variant 4 (+250)Variant 4 (+100)Variant 4 6 (+57)"
9	dark:bg-neutral-800/50	<thead.bg-neutral-50.dark:bg-neutral-800/50> "AttributeValue" | <tr.bg-neutral-50.dark:bg-neutral-800/50> "DevicesPhone, earbuds, watch, power bank" | <tr.bg-neutral-50.dark:bg-neutral-800/50> "BatteryUp to 48 hours combined use" | <tr.bg-neutral-50.dark:bg-neutral-800/50> "WirelessBluetooth 5.3 and Wi-Fi 6"
