count	class	samples
14	shrink-0	<div.relative.shrink-0.overflow-hidden.rounded-full.outline-solid.outline-transparent.group-data-[focus-visible=true]:z-10.group-data-[focus-visible=true]:ring-2> | <button.flex.shrink-0.items-center.gap-2.cursor-pointer.border.border-green-500.text-green-600> "Edit Profile" | <div.flex.shrink-0.items-center.justify-center.w-8.h-8.xs:w-9.xs:h-9> | <span.w-24.xs:w-28.sm:w-36.shrink-0.text-xs.xs:text-sm.text-neutral-500.dark:text-neutral-400> "First Name"
13	py-4	<div.px-6.py-4> | <div.overflow-y-auto.h-[calc(100vh-180px)].py-4.px-6> "Start typing to search products" | <div.flex.items-center.gap-3.xs:gap-4.py-4.border-b.border-neutral-100.dark:border-neutral-800> "First Namesgsdg" | <div.flex.items-center.gap-3.xs:gap-4.py-4.border-b.border-neutral-100.dark:border-neutral-800> "Last Namesgsdg"
12	font-semibold	<p.text-sm.font-semibold.text-neutral-300> "Logoipsum" | <h2.text-2xl.font-semibold.text-neutral-900.dark:text-white> "Shopping Cart" | <div.inline-flex.items-center.gap-1.px-3.py-1.rounded-full.text-xs.font-semibold> "Verified Account" | <button.w-full.text-left.px-4.py-3.rounded-l-xl.rounded-r-none.cursor-pointer.flex> "Profile"
12	xs:text-sm	<span.w-24.xs:w-28.sm:w-36.shrink-0.text-xs.xs:text-sm.text-neutral-500.dark:text-neutral-400> "First Name" | <span.text-xs.xs:text-sm.font-semibold.text-neutral-900.dark:text-white.break-all.min-w-0> "sgsdg" | <span.w-24.xs:w-28.sm:w-36.shrink-0.text-xs.xs:text-sm.text-neutral-500.dark:text-neutral-400> "Last Name" | <span.w-24.xs:w-28.sm:w-36.shrink-0.text-xs.xs:text-sm.text-neutral-500.dark:text-neutral-400> "Gender"
11	border	<input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border> | <div.inline-flex.items-center.gap-1.px-3.py-1.rounded-full.text-xs.font-semibold> "Verified Account" | <nav.bg-white.dark:bg-neutral-900.rounded-2xl.shadow-sm.border.border-neutral-100.dark:border-neutral-800.p-3> "ProfileAddressesWishlistOrdersReviewsLogout" | <main.flex-1.min-w-0.bg-white.dark:bg-neutral-900.rounded-2xl.p-6.shadow-sm.border> "Profile InformationManage your personal details and account information.Edit ProfileFirst NamesgsdgL"
11	dark:hover:text-neutral-300	<button.absolute.right-2.top-1/2.-translate-y-1/2.p-2.text-neutral-400.hover:text-neutral-600.dark:hover:text-neutral-300> | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Shipping"
11	flex-col	<div.fixed.right-0.top-0.z-50.h-full.w-full.max-w-[420px].bg-white> "Shopping CartYour cart is emptyAdd items to your cart to see them here" | <div.flex.flex-col.items-center.justify-center.h-64.text-center> "Your cart is emptyAdd items to your cart to see them here" | <div.flex.flex-col.lg:flex-row.gap-6.lg:gap-8> "ProfileAddressesWishlistOrdersReviewsLogoutProfile InformationManage your personal details and accou" | <div.flex.flex-col> "First NamesgsdgLast NamesgsdgGender-Date of Birth-Emailsgsdg@dffd.comPhone-"
11	h-5	<svg.w-5.h-5> | <svg.h-5.w-5> | <svg.w-5.h-5.text-emerald-500>
11	justify-between	<div.flex.w-full.items-center.justify-between.max-w-screen-2xl.mx-auto> "LogoipsumAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing to search productsShoppin" | <div.flex.items-center.justify-between.px-6.py-5.border-b.border-neutral-100.dark:border-neutral-800> "Search" | <div.flex.items-center.justify-between.px-6.py-6> "Shopping Cart" | <button.w-full.text-left.px-4.py-3.rounded-l-xl.rounded-r-none.cursor-pointer.flex> "Profile"
11	mx-auto	<nav.relative.mx-auto.rounded-xl.bg-neutral-900.dark:bg-neutral-900.px-4.md:px-6.lg:px-8> "LogoipsumAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing to search productsShoppin" | <div.flex.w-full.items-center.justify-between.max-w-screen-2xl.mx-auto> "LogoipsumAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing to search productsShoppin" | <svg.w-12.h-12.mx-auto.text-neutral-300.dark:text-neutral-600.mb-3> | <div.mx-auto.min-h-[calc(100vh-580px)].w-full.bg-white.dark:bg-neutral-950> "sgsdg@dffd.comVerified AccountProfileAddressesWishlistOrdersReviewsLogoutProfile InformationManage y"
11	px-0	<div.relative.shrink-0.overflow-hidden.rounded-full.outline-solid.outline-transparent.group-data-[focus-visible=true]:z-10.group-data-[focus-visible=true]:ring-2> | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Shipping"
11	py-1	<div.inline-flex.items-center.gap-1.px-3.py-1.rounded-full.text-xs.font-semibold> "Verified Account" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Shipping"
11	text-center	<div.py-12.text-center> "Start typing to search products" | <div.flex.flex-col.items-center.justify-center.h-64.text-center> "Your cart is emptyAdd items to your cart to see them here" | <div.pt-16.lg:pt-20.pb-6.px-4.text-center.border-b.border-neutral-100.dark:border-neutral-800> "sgsdg@dffd.comVerified Account" | <div.flex.flex-col.items-center.justify-center.gap-2.5.text-center.py-4.px-3> "Enjoy free shipping on all orders"
11	transition-all	<label.group.relative.max-w-fit.touch-none.tap-highlight-transparent.select-none.flex.size-9> | <button.w-full.text-left.px-4.py-3.rounded-l-xl.rounded-r-none.cursor-pointer.flex> "Profile" | <button.w-full.text-left.px-4.py-3.rounded-l-xl.rounded-r-none.cursor-pointer.flex> "Addresses" | <button.w-full.text-left.px-4.py-3.rounded-l-xl.rounded-r-none.cursor-pointer.flex> "Wishlist"
11	w-5	<svg.w-5.h-5> | <svg.h-5.w-5> | <svg.w-5.h-5.text-emerald-500>
10	block	<a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Shipping" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Terms of use"
10	border-b	<div.flex.items-center.justify-between.px-6.py-5.border-b.border-neutral-100.dark:border-neutral-800> "Search" | <div.mx-6.border-b.border-neutral-100.dark:border-neutral-800> | <div.hero-banner.relative.w-full.h-[180px].sm:h-[220px].lg:h-[280px].bg-white.dark:bg-neutral-900> | <div.pt-16.lg:pt-20.pb-6.px-4.text-center.border-b.border-neutral-100.dark:border-neutral-800> "sgsdg@dffd.comVerified Account"
10	fill-white	<rect.fill-white> | <path.fill-white> | <svg.fill-white.stroke-neutral-900.dark:fill-neutral-900.dark:stroke-neutral-300>
10	hover:text-black	<a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Shipping" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Terms of use"
10	hover:underline	<a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Shipping" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Terms of use"
10	md:inline-block	<a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Shipping" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Terms of use"
10	md:p-2	<a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Shipping" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Terms of use"
10	px-3	<a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "All" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Smartphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Headphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Entertainment"
10	rounded-lg	<div.!min-h-9.!min-w-9.flex.items-center.justify-center.rounded-lg.bg-emerald-500> | <input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border> | <button.flex.shrink-0.items-center.gap-2.cursor-pointer.border.border-green-500.text-green-600> "Edit Profile" | <div.flex.shrink-0.items-center.justify-center.w-8.h-8.xs:w-9.xs:h-9>
10	text-nowrap	<a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Shipping" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Terms of use"
10	text-white	<button.p-2.text-white.transition-colors.cursor-pointer.rounded-full.hover:bg-white/10> | <div.relative.flex.items-center.justify-center.rounded-md.lg:h-11.lg:w-11.text-white> | <button.relative.p-2.text-white.transition-colors.cursor-pointer.rounded-full.hover:bg-white/10> | <svg.text-white.hover:text-neutral-200.transition-colors>
10	underline-offset-4	<a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Shipping" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Terms of use"
9	gap-3	<div.flex.items-center.gap-3> "Logoipsum" | <button.w-full.text-left.px-4.py-3.rounded-xl.flex.items-center.gap-3> "Logout" | <div.flex.items-center.gap-3.xs:gap-4.py-4.border-b.border-neutral-100.dark:border-neutral-800> "First Namesgsdg" | <div.flex.items-center.gap-3.xs:gap-4.py-4.border-b.border-neutral-100.dark:border-neutral-800> "Last Namesgsdg"
8	h-4	<svg.w-4.h-4> | <svg.w-4.h-4.xs:w-5.xs:h-5>
8	h-8	<a.flex.h-8.w-auto.items-center.md:h-9> "Logoipsum" | <label.absolute.bottom-0.right-0.w-8.h-8.rounded-full.bg-emerald-500.hover:bg-emerald-600> | <div.flex.shrink-0.items-center.justify-center.w-8.h-8.xs:w-9.xs:h-9>
8	hover:bg-white/10	<a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "All" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Smartphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Headphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Entertainment"
8	hover:text-white	<a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "All" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Smartphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Headphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Entertainment"
8	py-3	<input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border> | <button.w-full.text-left.px-4.py-3.rounded-l-xl.rounded-r-none.cursor-pointer.flex> "Profile" | <button.w-full.text-left.px-4.py-3.rounded-l-xl.rounded-r-none.cursor-pointer.flex> "Addresses" | <button.w-full.text-left.px-4.py-3.rounded-l-xl.rounded-r-none.cursor-pointer.flex> "Wishlist"
8	text-neutral-300	<p.text-sm.font-semibold.text-neutral-300> "Logoipsum" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "All" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Smartphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Headphones"
8	text-neutral-600	<button.w-full.text-left.px-4.py-3.rounded-l-xl.rounded-r-none.cursor-pointer.flex> "Addresses" | <button.w-full.text-left.px-4.py-3.rounded-l-xl.rounded-r-none.cursor-pointer.flex> "Wishlist" | <button.w-full.text-left.px-4.py-3.rounded-l-xl.rounded-r-none.cursor-pointer.flex> "Orders" | <button.w-full.text-left.px-4.py-3.rounded-l-xl.rounded-r-none.cursor-pointer.flex> "Reviews"
8	w-4	<svg.w-4.h-4> | <svg.w-4.h-4.xs:w-5.xs:h-5>
7	dark:bg-neutral-800	<input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border> | <div.relative.w-24.h-24.sm:w-28.sm:h-28.lg:w-32.lg:h-32.rounded-full> | <div.w-full.h-full.flex.items-center.justify-center.bg-white.dark:bg-neutral-800.rounded-full> | <a.cursor-pointer.w-9.h-9.flex.items-center.justify-center.rounded-full.bg-neutral-100>
7	dark:bg-neutral-900	<nav.relative.mx-auto.rounded-xl.bg-neutral-900.dark:bg-neutral-900.px-4.md:px-6.lg:px-8> "LogoipsumAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing to search productsShoppin" | <div.fixed.right-0.top-0.z-50.h-full.w-full.max-w-[420px].bg-white> "SearchStart typing to search products" | <div.fixed.right-0.top-0.z-50.h-full.w-full.max-w-[420px].bg-white> "Shopping CartYour cart is emptyAdd items to your cart to see them here" | <div.hero-banner.relative.w-full.h-[180px].sm:h-[220px].lg:h-[280px].bg-white.dark:bg-neutral-900>
7	dark:text-green-400	<button.flex.shrink-0.items-center.gap-2.cursor-pointer.border.border-green-500.text-green-600> "Edit Profile" | <div.flex.shrink-0.items-center.justify-center.w-8.h-8.xs:w-9.xs:h-9>
7	fixed	<div.fixed.left-1/2.z-[999].w-[80%].-translate-x-1/2.sm:max-w-md.top-4.bottom-auto> | <header.fixed.top-0.left-0.right-0.z-[60]> "LogoipsumAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing to search productsShoppin" | <div.fixed.inset-x-0.bottom-0.z-[60].lg:hidden.sf-hidden> | <div.fixed.inset-0.z-40.bg-black/40.backdrop-blur-sm.transition-opacity.duration-300.ease-out>
7	min-w-0	<main.flex-1.min-w-0.bg-white.dark:bg-neutral-900.rounded-2xl.p-6.shadow-sm.border> "Profile InformationManage your personal details and account information.Edit ProfileFirst NamesgsdgL" | <span.text-xs.xs:text-sm.font-semibold.text-neutral-900.dark:text-white.break-all.min-w-0> "sgsdg" | <span.text-xs.xs:text-sm.font-semibold.text-neutral-900.dark:text-white.break-all.min-w-0> "-" | <span.text-xs.xs:text-sm.font-semibold.text-neutral-900.dark:text-white.break-all.min-w-0> "sgsdg@dffd.com"
7	rounded-2xl	<nav.bg-white.dark:bg-neutral-900.rounded-2xl.shadow-sm.border.border-neutral-100.dark:border-neutral-800.p-3> "ProfileAddressesWishlistOrdersReviewsLogout" | <main.flex-1.min-w-0.bg-white.dark:bg-neutral-900.rounded-2xl.p-6.shadow-sm.border> "Profile InformationManage your personal details and account information.Edit ProfileFirst NamesgsdgL" | <div.profile-tab.max-w-lg.w-full.mx-auto.bg-white.dark:bg-neutral-900.rounded-2xl.shadow-sm> "Profile InformationManage your personal details and account information.Edit ProfileFirst NamesgsdgL" | <div.flex.flex-col.items-center.justify-center.gap-2.5.text-center.py-4.px-3> "Enjoy free shipping on all orders"
7	text-green-600	<button.flex.shrink-0.items-center.gap-2.cursor-pointer.border.border-green-500.text-green-600> "Edit Profile" | <div.flex.shrink-0.items-center.justify-center.w-8.h-8.xs:w-9.xs:h-9>
7	w-24	<div.relative.w-24.h-24.sm:w-28.sm:h-28.lg:w-32.lg:h-32.rounded-full> | <span.w-24.xs:w-28.sm:w-36.shrink-0.text-xs.xs:text-sm.text-neutral-500.dark:text-neutral-400> "First Name" | <span.w-24.xs:w-28.sm:w-36.shrink-0.text-xs.xs:text-sm.text-neutral-500.dark:text-neutral-400> "Last Name" | <span.w-24.xs:w-28.sm:w-36.shrink-0.text-xs.xs:text-sm.text-neutral-500.dark:text-neutral-400> "Gender"
7	w-8	<label.absolute.bottom-0.right-0.w-8.h-8.rounded-full.bg-emerald-500.hover:bg-emerald-600> | <div.flex.shrink-0.items-center.justify-center.w-8.h-8.xs:w-9.xs:h-9>
6	bg-green-50	<div.flex.shrink-0.items-center.justify-center.w-8.h-8.xs:w-9.xs:h-9>
6	break-all	<span.text-xs.xs:text-sm.font-semibold.text-neutral-900.dark:text-white.break-all.min-w-0> "sgsdg" | <span.text-xs.xs:text-sm.font-semibold.text-neutral-900.dark:text-white.break-all.min-w-0> "-" | <span.text-xs.xs:text-sm.font-semibold.text-neutral-900.dark:text-white.break-all.min-w-0> "sgsdg@dffd.com"
6	dark:bg-green-900/20	<div.flex.shrink-0.items-center.justify-center.w-8.h-8.xs:w-9.xs:h-9>
